Kernel,Init Length,Alpha,Train R2,LOOCV R2,LOOCV MAE,LOOCV RMSE,Optimized Kernel
Matern_1.5,1.0,0.01,0.9964680831011021,0.8521965555786717,0.7285378943482739,0.8691277567445432,"19.3**2 * Matern(length_scale=12.9, nu=1.5)"
Matern_1.5,2.0,0.01,0.9964680830996907,0.8521965483833089,0.7285379057859379,0.8691277778999683,"19.3**2 * Matern(length_scale=12.9, nu=1.5)"
Matern_1.5,1.0,0.05,0.9963519093313666,0.8483099412226816,0.7360095907754304,0.8804808246419579,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,20.0,0.05,0.9963519093313666,0.8483099410757702,0.7360095922024578,0.8804808250683296,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,10.0,0.05,0.9963519093313666,0.8483099410757702,0.7360095922024578,0.8804808250683296,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,0.1,0.05,0.9963519093313666,0.8483099410757702,0.7360095922024578,0.8804808250683296,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,2.0,0.05,0.9963519093313666,0.8483099401282898,0.7360095930910688,0.8804808278181416,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,5.0,0.05,0.9963519093313666,0.8483099392876464,0.7360095965134609,0.8804808302578874,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,0.5,0.05,0.9963519093313666,0.8483099391490936,0.7360095972498063,0.8804808306600005,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_2.5,2.0,0.5,0.9860450887837788,0.8464608050033569,0.7167101930768577,0.8858311989358265,"17.6**2 * Matern(length_scale=8.17, nu=2.5)"
Matern_2.5,10.0,0.5,0.9860450887837788,0.8464608048751333,0.7167101867494515,0.885831199305714,"17.6**2 * Matern(length_scale=8.17, nu=2.5)"
Matern_2.5,5.0,0.5,0.9860450887837788,0.8464608048318043,0.716710187667722,0.8858311994307055,"17.6**2 * Matern(length_scale=8.17, nu=2.5)"
Matern_2.5,0.1,0.5,0.9860450887837788,0.8464608046661749,0.7167101933587374,0.8858311999084977,"17.6**2 * Matern(length_scale=8.17, nu=2.5)"
Matern_2.5,20.0,0.5,0.9860450887837788,0.8464608046208584,0.7167101937598477,0.8858312000392229,"17.6**2 * Matern(length_scale=8.17, nu=2.5)"
Matern_2.5,0.5,0.5,0.9860450887837788,0.8464608044430516,0.7167101959277133,0.8858312005521431,"17.6**2 * Matern(length_scale=8.17, nu=2.5)"
Matern_2.5,1.0,0.5,0.9860450887837788,0.8464608042544729,0.7167101933714187,0.8858312010961374,"17.6**2 * Matern(length_scale=8.17, nu=2.5)"
Matern_1.5,1.0,0.1,0.9960135955117282,0.843568280481373,0.7446702020591827,0.8941363521567622,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,2.0,0.1,0.9960135955117282,0.8435682804479097,0.7446702025702394,0.8941363522523975,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,20.0,0.1,0.9960135955117282,0.843568280193784,0.744670201787305,0.8941363529786664,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,10.0,0.1,0.9960135955117282,0.843568280193784,0.744670201787305,0.8941363529786664,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,0.1,0.1,0.9960135955117282,0.843568280193784,0.744670201787305,0.8941363529786664,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,0.5,0.1,0.9960135955117282,0.8435682801390534,0.7446702013068998,0.894136353135082,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,5.0,0.1,0.9960135955117282,0.8435682795198107,0.7446702050145264,0.8941363549048232,"19.3**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,0.5,0.2,0.9948028350135624,0.8343637509545224,0.7601483447927961,0.920066113949438,"19.4**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,2.0,0.2,0.9948028350135624,0.8343637508091389,0.7601483449933787,0.9200661143532216,"19.4**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,10.0,0.2,0.9948028350135624,0.8343637508091389,0.7601483449933787,0.9200661143532216,"19.4**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,20.0,0.2,0.9948028350135624,0.8343637508091389,0.7601483449933787,0.9200661143532216,"19.4**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,0.1,0.2,0.9948028350135624,0.8343637508091389,0.7601483449933787,0.9200661143532216,"19.4**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,1.0,0.2,0.9948028350135624,0.8343637507606132,0.7601483453884728,0.9200661144879955,"19.4**2 * Matern(length_scale=13, nu=1.5)"
Matern_1.5,5.0,0.2,0.9948028350135624,0.8343637500793334,0.7601483466914132,0.9200661163801611,"19.4**2 * Matern(length_scale=13, nu=1.5)"
RationalQuadratic,2.0,0.2,0.9912063908904445,0.8098265257027362,0.7361502890979634,0.9858624215424809,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=4.95)"
RationalQuadratic,0.1,0.2,0.9912063908904445,0.8098265083515996,0.7361502306677715,0.9858624665167687,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=4.95)"
RationalQuadratic,0.5,0.2,0.9912063908904445,0.8098264993270493,0.7361504633760634,0.985862489908476,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=4.95)"
RationalQuadratic,1.0,0.2,0.9912063908904445,0.8098264835931447,0.7361505698344154,0.9858625306908829,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=4.95)"
RationalQuadratic,20.0,0.2,0.9912063908904445,0.8098264815375291,0.7361505416762457,0.9858625360190547,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=4.95)"
RationalQuadratic,10.0,0.2,0.9912063908904445,0.8098264815375291,0.7361505416762457,0.9858625360190547,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=4.95)"
RationalQuadratic,5.0,0.2,0.9912063908904445,0.8098264652594158,0.7361507604777588,0.9858625782120527,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=4.95)"
Matern_1.5,5.0,0.5,0.9881052398024807,0.8076345729016273,0.8116185133519496,0.9915277034072587,"19.4**2 * Matern(length_scale=13.1, nu=1.5)"
Matern_1.5,20.0,0.5,0.9881052398024807,0.8076345728165367,0.8116185162562799,0.9915277036265541,"19.4**2 * Matern(length_scale=13.1, nu=1.5)"
Matern_1.5,0.1,0.5,0.9881052398024807,0.807634572753614,0.8116185143814355,0.9915277037887181,"19.4**2 * Matern(length_scale=13.1, nu=1.5)"
Matern_1.5,0.5,0.5,0.9881052398024807,0.8076345726365289,0.8116185154374376,0.9915277040904698,"19.4**2 * Matern(length_scale=13.1, nu=1.5)"
Matern_1.5,10.0,0.5,0.9881052398024807,0.8076345724397702,0.8116185182281844,0.9915277045975562,"19.4**2 * Matern(length_scale=13.1, nu=1.5)"
Matern_1.5,1.0,0.5,0.9881052398024807,0.8076345720412038,0.8116185184260087,0.9915277056247408,"19.4**2 * Matern(length_scale=13.1, nu=1.5)"
Matern_1.5,2.0,0.5,0.9881052398024807,0.8076345719707034,0.81161851822061,0.9915277058064343,"19.4**2 * Matern(length_scale=13.1, nu=1.5)"
Matern_2.5,10.0,1.0,0.9691005381237474,0.8062558971301308,0.820677705471406,0.9950744807027543,"17.7**2 * Matern(length_scale=8.3, nu=2.5)"
Matern_2.5,0.5,1.0,0.9691005381237474,0.8062558969727853,0.82067770515374,0.9950744811068195,"17.7**2 * Matern(length_scale=8.3, nu=2.5)"
Matern_2.5,2.0,1.0,0.9691005381237474,0.8062558969275943,0.8206777004462156,0.9950744812228707,"17.7**2 * Matern(length_scale=8.3, nu=2.5)"
Matern_2.5,20.0,1.0,0.9691005381237474,0.8062558966735407,0.8206777059192063,0.9950744818752832,"17.7**2 * Matern(length_scale=8.3, nu=2.5)"
Matern_2.5,1.0,1.0,0.9691005381237474,0.8062558963315847,0.8206777073134027,0.9950744827534306,"17.7**2 * Matern(length_scale=8.3, nu=2.5)"
Matern_2.5,0.1,1.0,0.9691005381237474,0.8062558963267186,0.8206777073267417,0.9950744827659268,"17.7**2 * Matern(length_scale=8.3, nu=2.5)"
Matern_2.5,5.0,1.0,0.9691005381237474,0.8062558963267186,0.8206777073267417,0.9950744827659268,"17.7**2 * Matern(length_scale=8.3, nu=2.5)"
RationalQuadratic,2.0,0.05,0.9956694653223341,0.799053893819218,0.7646969014251963,1.0134005600397977,"16**2 * RationalQuadratic(alpha=1e+05, length_scale=4.83)"
RationalQuadratic,5.0,0.05,0.9956694653223341,0.7990537971487672,0.7646970745603349,1.0134008038013687,"16**2 * RationalQuadratic(alpha=1e+05, length_scale=4.83)"
RationalQuadratic,20.0,0.05,0.995669533121622,0.7990537937779423,0.7646970707630982,1.0134008123011482,"16**2 * RationalQuadratic(alpha=1e+05, length_scale=4.83)"
RationalQuadratic,0.5,0.05,0.9956694653223341,0.7990537532739854,0.7646971677092232,1.0134009144348024,"16**2 * RationalQuadratic(alpha=1e+05, length_scale=4.83)"
RationalQuadratic,1.0,0.05,0.995669399427147,0.799053752986211,0.7646971686322317,1.0134009151604466,"16**2 * RationalQuadratic(alpha=1e+05, length_scale=4.83)"
RationalQuadratic,10.0,0.05,0.9956694672689982,0.7990537328811956,0.7646972757015512,1.0134009658566916,"16**2 * RationalQuadratic(alpha=1e+05, length_scale=4.83)"
Matern_1.5,2.0,1.0,0.9702182029235981,0.761947088108216,0.9310675982279988,1.1030065502005253,"19.6**2 * Matern(length_scale=13.4, nu=1.5)"
Matern_1.5,20.0,1.0,0.9702182029235981,0.7619470879875722,0.9310675972639918,1.103006550480024,"19.6**2 * Matern(length_scale=13.4, nu=1.5)"
Matern_1.5,10.0,1.0,0.9702182029235981,0.7619470877566188,0.9310675976830494,1.1030065510150795,"19.6**2 * Matern(length_scale=13.4, nu=1.5)"
Matern_1.5,1.0,1.0,0.9702182029235981,0.7619470877301181,0.9310675981295402,1.1030065510764744,"19.6**2 * Matern(length_scale=13.4, nu=1.5)"
Matern_1.5,5.0,1.0,0.9702182029235981,0.7619470876353147,0.9310675966080187,1.1030065512961078,"19.6**2 * Matern(length_scale=13.4, nu=1.5)"
Matern_1.5,0.1,1.0,0.9702182029235981,0.7619470876101075,0.9310675983765996,1.1030065513545062,"19.6**2 * Matern(length_scale=13.4, nu=1.5)"
Matern_1.5,0.5,1.0,0.9702182029235981,0.7619470864463352,0.9310676001215799,1.103006554050647,"19.6**2 * Matern(length_scale=13.4, nu=1.5)"
RationalQuadratic,2.0,0.01,0.9964259386874836,0.7427382622540204,0.8871295246760027,1.1466448949716481,"16.3**2 * RationalQuadratic(alpha=3.38, length_scale=5.17)"
RationalQuadratic,0.5,0.01,0.9964259386874836,0.7427379635146545,0.8871296340038799,1.1466455607291612,"16.3**2 * RationalQuadratic(alpha=3.38, length_scale=5.17)"
RationalQuadratic,10.0,0.01,0.9964259386874836,0.7427379475508614,0.8871296876873355,1.1466455963053628,"16.3**2 * RationalQuadratic(alpha=3.38, length_scale=5.17)"
RationalQuadratic,0.1,0.01,0.9964259386874836,0.7427379439142114,0.8871296789348948,1.1466456044098396,"16.3**2 * RationalQuadratic(alpha=3.38, length_scale=5.17)"
RationalQuadratic,5.0,0.01,0.9964259386874836,0.7427379138680426,0.8871299044954057,1.1466456713693964,"16.3**2 * RationalQuadratic(alpha=3.38, length_scale=5.17)"
RationalQuadratic,20.0,0.01,0.9964259386874836,0.7427374045097082,0.8871301971704639,1.1466468065021496,"16.3**2 * RationalQuadratic(alpha=3.38, length_scale=5.17)"
RationalQuadratic,2.0,0.001,0.9964726915390467,0.7101455569468998,0.9900728597285345,1.2171141831975896,"16.5**2 * RationalQuadratic(alpha=2.22, length_scale=5.34)"
RationalQuadratic,10.0,0.001,0.9964726915390467,0.710145486433768,0.9900742418606727,1.2171143312417712,"16.5**2 * RationalQuadratic(alpha=2.22, length_scale=5.34)"
RationalQuadratic,20.0,0.001,0.9964726915390467,0.7101441568305803,0.9900759646204015,1.2171171227753907,"16.5**2 * RationalQuadratic(alpha=2.22, length_scale=5.34)"
RationalQuadratic,5.0,0.001,0.9964726915390467,0.7101438054297187,0.990074527331454,1.2171178605488153,"16.5**2 * RationalQuadratic(alpha=2.22, length_scale=5.34)"
RationalQuadratic,10.0,0.5,0.9808979524883492,0.6820713923600763,0.9968274112963461,1.2746946012875937,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=5.08)"
RationalQuadratic,20.0,0.5,0.980898057138641,0.6820713610632299,0.9968290481410917,1.2746946640279688,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=5.08)"
RationalQuadratic,5.0,0.5,0.9808979524883492,0.682071254504749,0.9968254511190627,1.274694877644326,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=5.08)"
RationalQuadratic,0.1,0.5,0.9808979524883492,0.6820710693351244,0.9968300706531579,1.2746952488513041,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=5.08)"
RationalQuadratic,2.0,0.5,0.9808979524883492,0.6820710693351244,0.9968300706531579,1.2746952488513041,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=5.08)"
RationalQuadratic,0.5,0.5,0.9808979524883492,0.6820710693351244,0.9968300706531579,1.2746952488513041,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=5.08)"
RationalQuadratic,1.0,0.5,0.9808979524883492,0.6820710648405937,0.9968300757765284,1.2746952578614261,"15.8**2 * RationalQuadratic(alpha=1e+05, length_scale=5.08)"
RationalQuadratic,5.0,1.0,0.966220377026779,0.47776655919177957,1.4171423353812622,1.6337051626348487,"39.2**2 * RationalQuadratic(alpha=0.000495, length_scale=9.06)"
RationalQuadratic,2.0,1.0,0.966220377026779,0.4777665591908259,1.4171423353822488,1.6337051626363404,"39.2**2 * RationalQuadratic(alpha=0.000495, length_scale=9.06)"
RationalQuadratic,10.0,1.0,0.966220377026779,0.4777665591908259,1.4171423353822488,1.6337051626363404,"39.2**2 * RationalQuadratic(alpha=0.000495, length_scale=9.06)"
RationalQuadratic,1.0,1.0,0.966220377026779,0.4777665591908259,1.4171423353822488,1.6337051626363404,"39.2**2 * RationalQuadratic(alpha=0.000495, length_scale=9.06)"
RationalQuadratic,0.5,1.0,0.966220377026779,0.4777665591908259,1.4171423353822488,1.6337051626363404,"39.2**2 * RationalQuadratic(alpha=0.000495, length_scale=9.06)"
RationalQuadratic,0.1,1.0,0.966220377026779,0.4777665554510284,1.4171423416609625,1.6337051684859527,"39.2**2 * RationalQuadratic(alpha=0.000495, length_scale=9.06)"
RationalQuadratic,20.0,1.0,0.966220377026779,0.4777665332506815,1.4171423839986117,1.6337052032106736,"39.2**2 * RationalQuadratic(alpha=0.000495, length_scale=9.06)"
RBF,0.5,1.0,0.9654679925481122,0.2696338659344776,1.289276283771848,1.932020170258619,15.9**2 * RBF(length_scale=5.2)
RBF,1.0,1.0,0.9654679925481122,0.2696338654192628,1.2892762837165552,1.9320201709400615,15.9**2 * RBF(length_scale=5.2)
RBF,10.0,1.0,0.9654679925481122,0.26963386541669565,1.2892762840687293,1.932020170943457,15.9**2 * RBF(length_scale=5.2)
RBF,0.1,1.0,0.9654679925481122,0.26963386541669565,1.2892762840687293,1.932020170943457,15.9**2 * RBF(length_scale=5.2)
RBF,20.0,1.0,0.9654679925481122,0.26963386541669565,1.2892762840687293,1.932020170943457,15.9**2 * RBF(length_scale=5.2)
RBF,2.0,1.0,0.9654679925481122,0.26963386541669565,1.2892762840687293,1.932020170943457,15.9**2 * RBF(length_scale=5.2)
RBF,5.0,1.0,0.9654679925481122,0.26963386541669565,1.2892762840687293,1.932020170943457,15.9**2 * RBF(length_scale=5.2)
